Well,Cycle,Time,Object Index,Area [um^2],Area [%],Perimeter [um],Form factor,Extent,Compactness,Eccentricity,Characteristic RI,Characteristic dry mass density [pg / um^3],Dry mass [pg],Granularity
A1,1,00:00:26,1,344.88,0.56805,156.208,0.177612,0.502213,5.63024,0.851801,1.34278,0.0638942,70.5147,5.93641
A1,1,00:00:26,2,316.8,0.5218,120.982,0.271992,0.688217,3.67657,0.764503,1.34294,0.0647244,65.615,12.0848
A1,1,00:00:26,3,488.56,0.804705,148.521,0.278324,0.586478,3.59293,0.749856,1.34624,0.0811968,126.942,11.5466
A1,1,00:00:26,4,963.88,1.5876,266.161,0.17098,0.535798,5.84865,0.823539,1.34106,0.0552868,170.527,14.6023
A1,1,00:00:26,5,573.16,0.944049,183.679,0.213485,0.507257,4.68417,0.938867,1.34931,0.0965618,177.105,6.26995
A1,1,00:00:26,6,718.56,1.18354,242.981,0.152943,0.471125,6.5384,0.956208,1.34581,0.0790479,181.762,10.5025
A1,1,00:00:26,7,208.2,0.342925,85.9328,0.354301,0.584241,2.82246,0.917311,1.34644,0.0822009,54.7655,9.52497
A1,1,00:00:26,8,771.52,1.27077,346.229,0.0808781,0.373451,12.3643,0.930104,1.34475,0.0737514,182.082,7.85576
A1,1,00:00:26,9,456.08,0.751207,162.04,0.218277,0.421547,4.58134,0.894735,1.34675,0.0837634,122.249,8.80731
A1,1,00:00:26,10,193.56,0.318812,78.4465,0.395256,0.564776,2.53001,0.826723,1.35388,0.119423,73.9696,5.06866
A1,1,00:00:26,11,249.08,0.410258,96.9732,0.332847,0.562664,3.00438,0.740679,1.35329,0.11644,92.8096,5.53775
A1,1,00:00:26,12,875.52,1.44206,253.501,0.171206,0.576759,5.84093,0.967619,1.34499,0.0749506,209.986,7.52367
A1,1,00:00:26,13,788.84,1.29929,247.077,0.162381,0.489112,6.15836,0.931838,1.34462,0.07311,184.551,6.8335
A1,1,00:00:26,14,565.24,0.931004,149.499,0.317809,0.657256,3.14654,0.771671,1.34681,0.0840678,152.059,8.38137
A1,1,00:00:26,15,444.4,0.731969,155.756,0.230195,0.328397,4.34414,0.944417,1.34857,0.0928444,132.032,6.23829
A1,1,00:00:26,16,539.88,0.889234,263.625,0.097619,0.311199,10.2439,0.817092,1.34663,0.083154,143.658,10.7126
A1,1,00:00:26,17,351.96,0.579711,133.13,0.249548,0.578501,4.00724,0.568931,1.3471,0.0854822,96.2762,7.27582
A1,1,00:00:26,18,295.56,0.486815,110.47,0.304344,0.508045,3.28576,0.845883,1.35293,0.114649,108.434,7.38524
A1,1,00:00:26,19,358.28,0.590121,142.23,0.222561,0.531636,4.49314,0.881256,1.34676,0.0838126,96.0909,6.71988
A1,1,00:00:26,20,1131.2,1.86319,263.529,0.204688,0.494198,4.88548,0.902032,1.34184,0.0592212,214.371,12.9153
A1,1,00:00:26,21,532.8,0.877572,164.017,0.248883,0.545991,4.01796,0.899522,1.34747,0.0873613,148.947,9.52065
A1,1,00:00:26,22,268.96,0.443003,109.718,0.280766,0.570314,3.56168,0.812253,1.34967,0.0983304,84.6302,7.81315
A1,1,00:00:26,23,870.0,1.43297,212.89,0.241223,0.603496,4.14553,0.646708,1.34227,0.0613667,170.845,12.3062
A1,1,00:00:26,24,1112.6,1.83256,284.091,0.173234,0.45786,5.77254,0.691274,1.34134,0.056704,201.884,10.8449
A1,1,00:00:26,25,1092.56,1.79955,361.096,0.105295,0.369173,9.4971,0.894857,1.34223,0.0611298,213.722,12.2012
A1,1,00:00:26,26,484.44,0.797919,136.278,0.327794,0.552459,3.0507,0.906518,1.34811,0.0905336,140.346,9.76305
A1,1,00:00:26,27,411.96,0.678537,193.781,0.137862,0.472171,7.25364,0.469436,1.34691,0.0845513,111.462,9.38432
A1,1,00:00:26,28,444.76,0.732562,140.427,0.283424,0.369451,3.52828,0.915964,1.34865,0.0932636,132.736,6.76726
A1,1,00:00:26,29,1208.08,1.98982,383.151,0.103411,0.370668,9.67016,0.878764,1.34154,0.0576853,223.003,14.2615
A1,1,00:00:26,30,548.36,0.903201,128.9,0.414735,0.657885,2.41118,0.794249,1.34505,0.0752256,132.002,13.546
A1,1,00:00:26,31,473.16,0.779339,192.609,0.160274,0.45374,6.2393,0.695617,1.34572,0.0786148,119.032,8.37773
A1,1,00:00:26,32,774.32,1.27538,221.122,0.199007,0.522554,5.02496,0.858369,1.34139,0.056931,141.065,14.1833
A1,1,00:00:26,33,388.4,0.639732,129.482,0.291118,0.526458,3.43504,0.855765,1.3483,0.0915049,113.73,8.24351
A1,1,00:00:26,34,351.44,0.578855,138.524,0.230151,0.538754,4.34497,0.780627,1.3489,0.0945087,106.285,7.87763
A1,1,00:00:26,35,439.72,0.724261,135.266,0.302003,0.656063,3.31122,0.622774,1.34799,0.0899718,126.6,9.54513
A1,1,00:00:26,36,275.16,0.453215,85.6902,0.470905,0.612447,2.12357,0.715865,1.34377,0.0688371,60.6119,12.2155
A1,1,00:00:26,37,455.32,0.749955,162.616,0.216371,0.567872,4.62168,0.924018,1.34337,0.0668286,97.3709,11.9054
A1,1,00:00:26,38,248.52,0.409336,110.776,0.254497,0.549337,3.92932,0.68939,1.35619,0.130974,104.159,5.79338
A1,2,00:03:18,1,364.48,0.600333,171.424,0.155861,0.504708,6.41596,0.895774,1.3425,0.0624751,72.867,5.79304
A1,2,00:03:18,2,257.84,0.424687,108.366,0.275914,0.60469,3.62432,0.696429,1.34374,0.068695,56.6794,13.2452
A1,2,00:03:18,3,502.68,0.827962,185.176,0.184218,0.518355,5.42834,0.803901,1.34611,0.0805645,129.594,10.5673
A1,2,00:03:18,4,914.08,1.50558,237.971,0.202836,0.49005,4.9301,0.889763,1.34126,0.0562951,164.666,15.5
A1,2,00:03:18,5,391.56,0.644936,107.916,0.422507,0.596308,2.36683,0.5911,1.35277,0.113839,142.639,5.32265
A1,2,00:03:18,6,680.04,1.12009,210.26,0.193299,0.485327,5.17332,0.969896,1.34606,0.0803097,174.764,10.3796
A1,2,00:03:18,7,775.52,1.27735,319.49,0.0954746,0.41648,10.474,0.902513,1.34438,0.0719221,178.487,7.89053
A1,2,00:03:18,8,226.92,0.373759,86.8382,0.378147,0.525278,2.64447,0.919046,1.34746,0.0872986,63.3914,7.37986
A1,2,00:03:18,9,498.2,0.820583,161.675,0.239511,0.380747,4.17517,0.941285,1.34556,0.0777853,124.008,8.72842
A1,2,00:03:18,10,207.8,0.342266,87.9377,0.33768,0.602389,2.96138,0.808135,1.34929,0.0964665,64.1464,5.72193
A1,2,00:03:18,11,266.96,0.439708,107.507,0.290257,0.48153,3.44523,0.844091,1.35173,0.108634,92.8031,4.21513
A1,2,00:03:18,12,861.28,1.41861,223.213,0.217228,0.613447,4.60346,0.96658,1.34492,0.0745882,205.572,7.20107
A1,2,00:03:18,13,745.88,1.22854,212.743,0.207094,0.482783,4.82872,0.93203,1.3448,0.0740086,176.645,6.93755
A1,2,00:03:18,14,533.76,0.879153,141.953,0.332862,0.658898,3.00424,0.774184,1.34734,0.0867096,148.103,6.96732
A1,2,00:03:18,15,440.2,0.725051,173.627,0.183496,0.308091,5.44971,0.937645,1.34837,0.0918723,129.415,7.73499
A1,2,00:03:18,16,534.0,0.879549,198.433,0.170422,0.507817,5.8678,0.78459,1.34625,0.0812744,138.882,11.8256
A1,2,00:03:18,17,376.0,0.619308,130.152,0.27893,0.615344,3.58513,0.630532,1.34619,0.0809355,97.3816,7.0245
A1,2,00:03:18,18,285.88,0.470871,109.926,0.297299,0.439005,3.36362,0.82714,1.35306,0.115305,105.483,7.23696
A1,2,00:03:18,19,1095.76,1.80482,250.57,0.219314,0.493675,4.55968,0.906254,1.34191,0.0595746,208.894,12.9257
A1,2,00:03:18,20,435.04,0.716552,116.502,0.402783,0.673603,2.48273,0.912995,1.34489,0.0744695,103.671,8.36474
A1,2,00:03:18,21,547.08,0.901093,164.853,0.252969,0.487854,3.95305,0.921176,1.34732,0.0866123,151.628,8.60046
A1,2,00:03:18,22,894.68,1.47362,267.649,0.156945,0.442525,6.37165,0.534683,1.34219,0.0609707,174.558,11.9273
A1,2,00:03:18,23,275.4,0.45361,97.9779,0.36051,0.566947,2.77385,0.842288,1.35074,0.10368,91.3712,7.32845
A1,2,00:03:18,24,1164.68,1.91834,283.823,0.181686,0.38418,5.50399,0.809687,1.34122,0.056109,209.117,11.5042
A1,2,00:03:18,25,968.4,1.59505,272.847,0.163465,0.42163,6.11751,0.900395,1.34255,0.0627629,194.495,12.8981
A1,2,00:03:18,26,491.36,0.809316,139.152,0.318882,0.526668,3.13596,0.908105,1.34795,0.0897408,141.104,9.71562
A1,2,00:03:18,27,406.76,0.669972,162.113,0.194497,0.546368,5.14148,0.69179,1.34695,0.0847491,110.312,9.50282
A1,2,00:03:18,28,1178.24,1.94067,303.606,0.160628,0.488021,6.22555,0.782307,1.34039,0.0519467,195.858,17.0006
A1,2,00:03:18,29,417.68,0.687959,132.473,0.299089,0.380401,3.34348,0.927353,1.34865,0.0932521,124.639,7.06286
A1,2,00:03:18,30,563.92,0.92883,132.928,0.401044,0.659093,2.49349,0.801069,1.34473,0.0736682,132.937,13.9011
A1,2,00:03:18,31,544.56,0.896942,160.914,0.264281,0.488167,3.78385,0.712956,1.34461,0.0730441,127.286,8.49267
A1,2,00:03:18,32,385.04,0.634197,121.888,0.325681,0.547928,3.07049,0.859533,1.34834,0.0916755,112.956,7.4131
A1,2,00:03:18,33,343.8,0.566271,145.263,0.20474,0.428336,4.88423,0.582832,1.34903,0.0951661,104.698,7.70853
A1,2,00:03:18,34,595.68,0.981141,162.363,0.283955,0.519356,3.52169,0.789678,1.3422,0.060988,116.254,14.8328
A1,2,00:03:18,35,458.48,0.75516,123.644,0.376862,0.662428,2.65349,0.617907,1.34778,0.0889206,130.459,10.5853
A1,2,00:03:18,36,265.28,0.436941,90.6215,0.40593,0.619813,2.46348,0.744102,1.3432,0.065994,56.022,12.2902
A1,2,00:03:18,37,674.0,1.11014,316.736,0.0844257,0.574536,11.8447,0.956195,1.34331,0.0665269,143.485,10.2944
A1,2,00:03:18,38,291.48,0.480095,121.108,0.24973,0.621228,4.00432,0.761652,1.35308,0.115401,107.639,5.75317
A1,3,00:06:18,1,296.6,0.488528,114.879,0.282425,0.515468,3.54077,0.854717,1.3434,0.0670063,63.597,5.73455
A1,3,00:06:18,2,263.0,0.433186,143.378,0.160768,0.512311,6.22014,0.771846,1.34402,0.0700997,58.9959,11.9641
A1,3,00:06:18,3,491.6,0.809712,160.957,0.238453,0.594294,4.19369,0.738622,1.34616,0.0807977,127.104,12.0784
A1,3,00:06:18,4,899.0,1.48074,229.97,0.213612,0.434619,4.68138,0.889256,1.34147,0.0573703,165.043,14.9614
A1,3,00:06:18,5,323.16,0.532275,103.872,0.37638,0.560419,2.65689,0.461401,1.3546,0.122976,127.17,6.90925
A1,3,00:06:18,6,749.12,1.23387,280.805,0.119386,0.414446,8.37621,0.952126,1.34525,0.0762368,182.754,10.7902
A1,3,00:06:18,7,811.2,1.33612,310.038,0.106049,0.378224,9.42957,0.911293,1.34419,0.0709693,184.225,7.93968
A1,3,00:06:18,8,231.24,0.380874,92.1553,0.342162,0.524782,2.92259,0.91287,1.34755,0.0877502,64.9323,8.03304
A1,3,00:06:18,9,489.0,0.805429,145.734,0.289331,0.375715,3.45625,0.917188,1.34597,0.0798409,124.935,9.02992
A1,3,00:06:18,10,218.16,0.35933,112.458,0.216771,0.575499,4.61317,0.830185,1.34598,0.0799154,55.7899,3.53917
A1,3,00:06:18,11,295.96,0.487474,115.57,0.278455,0.514355,3.59125,0.841397,1.34989,0.0994372,94.1742,5.6327
A1,3,00:06:18,12,839.68,1.38303,247.228,0.172634,0.506906,5.79259,0.967236,1.34536,0.0768233,206.422,7.728
A1,3,00:06:18,13,768.84,1.26635,200.294,0.240829,0.551567,4.15233,0.908297,1.34463,0.0731736,180.028,7.34928
A1,3,00:06:18,14,588.96,0.970073,169.997,0.256102,0.610676,3.9047,0.772848,1.34629,0.0814674,153.539,8.10606
A1,3,00:06:18,15,443.2,0.729992,136.849,0.297389,0.428793,3.3626,0.942113,1.34826,0.091293,129.475,7.36618
A1,3,00:06:18,16,367.16,0.604747,118.778,0.327034,0.610225,3.05779,0.679764,1.34685,0.0842724,99.0127,7.54556
A1,3,00:06:18,17,505.6,0.832771,140.073,0.323825,0.65567,3.08809,0.732605,1.34604,0.0801901,129.741,13.1163
A1,3,00:06:18,18,288.16,0.474627,101.649,0.350459,0.607625,2.8534,0.87477,1.35314,0.115677,106.667,6.14174
A1,3,00:06:18,19,1121.52,1.84725,225.537,0.277065,0.521075,3.60927,0.885531,1.34183,0.0591379,212.238,13.1346
A1,3,00:06:18,20,575.04,0.947145,173.667,0.239592,0.54327,4.17375,0.923177,1.34666,0.083281,153.248,10.1606
A1,3,00:06:18,21,390.44,0.643092,147.184,0.226487,0.643483,4.41527,0.908461,1.34557,0.0778585,97.277,7.9892
A1,3,00:06:18,22,282.12,0.464678,92.0867,0.418071,0.572112,2.39194,0.840157,1.35025,0.101229,91.3878,6.78391
A1,3,00:06:18,23,889.88,1.46572,231.251,0.20911,0.498342,4.78217,0.577718,1.34228,0.0614097,174.871,12.0049
A1,3,00:06:18,24,1024.4,1.68728,228.276,0.247036,0.443409,4.04799,0.785196,1.34142,0.0570958,187.165,13.1077
A1,3,00:06:18,25,1081.76,1.78176,335.521,0.120754,0.381686,8.28131,0.902398,1.34229,0.0614566,212.74,12.9988
A1,3,00:06:18,26,495.08,0.815444,146.243,0.290893,0.487034,3.43769,0.894989,1.34808,0.0904071,143.228,9.21308
A1,3,00:06:18,27,371.0,0.611072,139.788,0.238587,0.536561,4.19135,0.688391,1.34776,0.088808,105.433,9.52901
A1,3,00:06:18,28,390.76,0.643619,127.514,0.301998,0.357433,3.31129,0.924819,1.34941,0.0970393,121.341,7.09773
A1,3,00:06:18,29,566.72,0.933442,135.266,0.389228,0.656412,2.56919,0.782602,1.34474,0.0737122,133.677,12.965
A1,3,00:06:18,30,1334.24,2.19762,391.082,0.109624,0.379153,9.12205,0.844276,1.34028,0.0513923,219.423,17.8563
A1,3,00:06:18,31,476.72,0.785203,128.621,0.362119,0.589533,2.76152,0.673974,1.34545,0.0772693,117.875,9.4834
A1,3,00:06:18,32,392.8,0.646979,135.641,0.268288,0.56201,3.72734,0.855154,1.34811,0.0905387,113.804,8.81082
A1,3,00:06:18,33,342.68,0.564426,112.617,0.339539,0.505428,2.94517,0.749726,1.34823,0.0911375,99.9392,8.77207
A1,3,00:06:18,34,561.8,0.925338,154.836,0.294474,0.522546,3.39589,0.795506,1.34257,0.0628644,113.015,13.3332
A1,3,00:06:18,35,441.04,0.726435,142.218,0.274017,0.561834,3.64941,0.653169,1.34792,0.0895917,126.443,10.1538
A1,3,00:06:18,36,276.64,0.455652,84.7186,0.484359,0.671717,2.06458,0.737775,1.34322,0.0661092,58.5231,10.7238
A1,3,00:06:18,37,241.56,0.397872,128.445,0.183991,0.475887,5.43504,0.698452,1.35685,0.134242,103.768,5.40238
A1,3,00:06:18,38,454.6,0.748769,145.018,0.27164,0.57961,3.68134,0.937671,1.34357,0.0678428,98.6923,13.169
A1,3,00:06:18,39,240.76,0.396555,107.946,0.259646,0.506224,3.8514,0.803263,1.34493,0.0746555,57.517,6.6486
A1,4,00:09:18,1,292.24,0.481347,112.312,0.291138,0.498635,3.43479,0.922427,1.34422,0.0710814,66.473,4.77158
A1,4,00:09:18,2,282.68,0.465601,131.546,0.205281,0.474933,4.87136,0.892372,1.34396,0.069815,63.153,10.142
A1,4,00:09:18,3,460.92,0.759179,175.589,0.187863,0.468224,5.32302,0.879836,1.34643,0.0821567,121.177,11.5815
A1,4,00:09:18,4,887.2,1.4613,209.994,0.252824,0.495986,3.95532,0.899096,1.34146,0.0573176,162.727,15.4982
A1,4,00:09:18,5,306.0,0.504011,86.5968,0.512776,0.669643,1.95017,0.391579,1.35465,0.12323,120.667,6.47693
A1,4,00:09:18,6,706.44,1.16357,218.555,0.185851,0.441525,5.38066,0.968831,1.34593,0.0796519,180.062,10.8339
A1,4,00:09:18,7,726.8,1.19711,294.181,0.105535,0.402811,9.47556,0.911736,1.34521,0.0760721,176.925,7.14239
A1,4,00:09:18,8,250.88,0.413223,88.6855,0.40084,0.582683,2.49476,0.91482,1.34613,0.0806455,64.7435,9.72794
A1,4,00:09:18,9,481.4,0.792911,147.582,0.277748,0.414001,3.60039,0.930705,1.34583,0.0791539,121.935,8.08875
A1,4,00:09:18,10,231.76,0.381731,111.604,0.233824,0.567705,4.27673,0.857847,1.34592,0.079589,59.0257,3.43859
A1,4,00:09:18,11,338.64,0.557772,118.295,0.304098,0.49064,3.28841,0.895606,1.34859,0.0929568,100.732,5.99273
A1,4,00:09:18,12,987.32,1.62621,353.826,0.0991031,0.303201,10.0905,0.828358,1.34453,0.0726324,229.477,7.14088
A1,4,00:09:18,13,678.16,1.11699,186.048,0.246202,0.621481,4.06171,0.88954,1.34488,0.0744221,161.504,7.92547
A1,4,00:09:18,14,609.6,1.00407,152.705,0.328511,0.72296,3.04404,0.740174,1.34603,0.0801266,156.304,8.34363
A1,4,00:09:18,15,412.96,0.680184,128.682,0.313387,0.435832,3.19095,0.946304,1.34923,0.0961708,127.087,6.08331
A1,4,00:09:18,16,335.64,0.552831,123.274,0.27755,0.609103,3.60296,0.712996,1.34776,0.0888191,95.3959,7.25732
A1,4,00:09:18,17,288.16,0.474627,94.4762,0.405695,0.56502,2.46491,0.852973,1.35275,0.113737,104.878,6.30042
A1,4,00:09:18,18,506.68,0.83455,127.928,0.389054,0.666789,2.57034,0.67672,1.34594,0.0796935,129.213,11.8167
A1,4,00:09:18,19,595.24,0.980417,187.677,0.212364,0.549317,4.70889,0.920437,1.34637,0.0818684,155.94,8.89004
A1,4,00:09:18,20,1064.88,1.75396,240.712,0.230948,0.483333,4.32998,0.89758,1.34205,0.0602638,205.356,13.0333
A1,4,00:09:18,21,418.6,0.689474,111.875,0.420285,0.681049,2.37934,0.901797,1.3458,0.0790187,105.847,7.15239
A1,4,00:09:18,22,273.12,0.449855,98.1365,0.356371,0.558025,2.80606,0.860453,1.35053,0.102659,89.7219,6.83307
A1,4,00:09:18,23,845.08,1.39193,211.184,0.238114,0.550584,4.19968,0.640235,1.34246,0.062309,168.5,12.6563
A1,4,00:09:18,24,1116.88,1.83961,285.728,0.171914,0.430736,5.81687,0.767443,1.3413,0.0565142,201.983,11.6505
A1,4,00:09:18,25,1012.6,1.66785,279.352,0.163059,0.378062,6.13274,0.897367,1.34245,0.0622485,201.705,12.9362
A1,4,00:09:18,26,474.28,0.781184,143.953,0.287608,0.498193,3.47695,0.899314,1.34866,0.093279,141.569,9.52698
A1,4,00:09:18,27,355.2,0.585048,134.137,0.248078,0.53375,4.03099,0.680078,1.34808,0.0903863,102.737,10.4843
A1,4,00:09:18,28,1563.16,2.57467,507.252,0.0763424,0.348876,13.0989,0.878516,1.3409,0.0544911,272.57,14.631
A1,4,00:09:18,29,563.8,0.928632,134.445,0.391961,0.657661,2.55128,0.777154,1.34458,0.0729196,131.559,13.9293
A1,4,00:09:18,30,395.32,0.65113,122.431,0.331416,0.413965,3.01735,0.924691,1.34898,0.0949153,120.07,7.52022
A1,4,00:09:18,31,505.52,0.832639,153.355,0.270119,0.551348,3.70207,0.739846,1.34473,0.0736541,119.148,9.09947
A1,4,00:09:18,32,382.08,0.629322,120.46,0.330888,0.557423,3.02217,0.867559,1.34838,0.0918996,112.362,7.2614
A1,4,00:09:18,33,354.24,0.583467,133.468,0.249892,0.533141,4.00172,0.717021,1.34778,0.0889031,100.778,8.06282
A1,4,00:09:18,34,575.32,0.947607,167.314,0.258258,0.541203,3.8721,0.792585,1.3423,0.0615151,113.251,12.736
A1,4,00:09:18,35,437.8,0.721098,128.403,0.333685,0.654449,2.99684,0.692327,1.34779,0.0889732,124.648,9.89207
A1,4,00:09:18,36,275.96,0.454532,85.1801,0.477947,0.704195,2.09228,0.713153,1.34302,0.0650947,57.4833,10.9026
A1,4,00:09:18,37,247.0,0.406832,113.796,0.239693,0.591815,4.17201,0.529688,1.35498,0.124885,98.7091,5.19713
A1,4,00:09:18,38,434.52,0.715696,132.651,0.31031,0.609596,3.22258,0.938059,1.34416,0.0707827,98.4207,10.9661
A1,5,00:12:18,1,308.04,0.507371,122.527,0.257841,0.547802,3.87835,0.902902,1.34371,0.0685402,67.562,5.10219
A1,5,00:12:18,2,255.52,0.420866,131.279,0.186315,0.621038,5.36727,0.781456,1.34437,0.071872,58.7672,11.3186
A1,5,00:12:18,3,455.0,0.749428,134.417,0.316455,0.607477,3.16,0.756349,1.34648,0.0824072,119.985,11.1326
A1,5,00:12:18,4,847.56,1.39601,232.197,0.197545,0.419219,5.06214,0.907016,1.34191,0.0595497,161.51,15.194
A1,5,00:12:18,5,305.0,0.502364,89.7968,0.475322,0.643732,2.10383,0.247372,1.35492,0.124615,121.624,6.01284
A1,5,00:12:18,6,698.44,1.1504,226.614,0.170909,0.475492,5.85106,0.967604,1.34584,0.0791776,176.963,9.92024
A1,5,00:12:18,7,792.68,1.30562,310.175,0.103536,0.396665,9.65843,0.917503,1.34436,0.0717833,182.084,7.18245
A1,5,00:12:18,8,268.6,0.44241,92.4595,0.394832,0.535486,2.53272,0.915231,1.34585,0.0792263,68.0966,8.99538
A1,5,00:12:18,9,480.6,0.791594,163.972,0.224622,0.366792,4.45193,0.943118,1.34627,0.0813529,125.114,7.87939
A1,5,00:12:18,10,188.16,0.309917,100.16,0.235693,0.538647,4.24281,0.869917,1.3475,0.0875118,52.6919,3.51171
A1,5,00:12:18,11,304.92,0.502232,139.183,0.197799,0.403205,5.05564,0.90372,1.34932,0.0966089,94.2656,5.14241
A1,5,00:12:18,12,908.68,1.49668,263.743,0.164157,0.422226,6.09174,0.937121,1.34468,0.073395,213.416,8.19965
A1,5,00:12:18,13,701.28,1.15507,212.144,0.195812,0.477451,5.10694,0.884667,1.34515,0.0757528,169.996,7.44303
A1,5,00:12:18,14,559.68,0.921846,135.427,0.383479,0.658447,2.6077,0.711219,1.34721,0.0860322,154.082,8.30776
A1,5,00:12:18,15,430.2,0.70858,126.144,0.339742,0.446933,2.94341,0.944645,1.34831,0.0915553,126.039,7.34723
A1,5,00:12:18,16,508.88,0.838174,124.664,0.411472,0.750206,2.4303,0.635202,1.34622,0.0810826,132.036,12.5051
A1,5,00:12:18,17,344.64,0.567655,121.335,0.294171,0.623264,3.39938,0.700418,1.34764,0.0882198,97.293,8.38763
A1,5,00:12:18,18,269.68,0.444189,91.4288,0.405408,0.615708,2.46665,0.867282,1.35413,0.120648,104.117,8.34844
A1,5,00:12:18,19,1049.6,1.72879,259.646,0.195646,0.481115,5.11128,0.895888,1.3421,0.0604763,203.123,13.4373
A1,5,00:12:18,20,325.56,0.536228,128.567,0.247503,0.583441,4.04036,0.885119,1.34752,0.0876,91.2609,7.14407
A1,5,00:12:18,21,595.72,0.981207,160.5,0.290604,0.554426,3.44111,0.891419,1.34538,0.0768785,146.554,11.1821
A1,5,00:12:18,22,278.92,0.459408,107.248,0.304729,0.557751,3.28161,0.834564,1.35107,0.105341,94.0217,6.66461
A1,5,00:12:18,23,872.76,1.43752,276.375,0.143584,0.508364,6.96456,0.667917,1.3423,0.0614932,171.74,11.3278
A1,5,00:12:18,24,1111.04,1.82999,247.286,0.228318,0.463211,4.37986,0.623897,1.34124,0.0562192,199.878,11.7143
A1,5,00:12:18,25,1063.28,1.75132,353.503,0.106923,0.332275,9.35254,0.906745,1.34228,0.0613848,208.862,13.0885
A1,5,00:12:18,26,468.72,0.772026,149.202,0.264591,0.481509,3.77942,0.899244,1.34875,0.0937571,140.627,9.38366
A1,5,00:12:18,27,350.44,0.577208,123.157,0.29034,0.569932,3.44424,0.679349,1.34796,0.0898012,100.704,10.5601
A1,5,00:12:18,28,1295.52,2.13384,357.171,0.127615,0.499884,7.83606,0.779674,1.34026,0.0513139,212.73,15.8722
A1,5,00:12:18,29,405.04,0.667139,126.334,0.318908,0.399054,3.1357,0.923393,1.34875,0.0937316,121.488,7.55659
A1,5,00:12:18,30,582.92,0.960124,138.177,0.383661,0.653263,2.60646,0.772484,1.34465,0.0732576,136.651,13.3033
A1,5,00:12:18,31,513.44,0.845684,170.964,0.220744,0.486212,4.53013,0.742783,1.34466,0.073307,120.444,9.5608
A1,5,00:12:18,32,380.64,0.62695,125.544,0.303483,0.614729,3.29508,0.86935,1.34882,0.0941106,114.631,7.6407
A1,5,00:12:18,33,337.12,0.555269,117.35,0.307631,0.560074,3.25064,0.725311,1.34818,0.090917,98.0798,9.14597
A1,5,00:12:18,34,618.36,1.0185,189.667,0.216007,0.557181,4.62948,0.783124,1.34186,0.0592822,117.305,13.0643
A1,5,00:12:18,35,415.56,0.684467,121.063,0.356303,0.641772,2.8066,0.679488,1.34883,0.094132,125.176,10.6417
A1,5,00:12:18,36,276.84,0.455982,82.8073,0.507343,0.699232,1.97105,0.712983,1.34363,0.0681251,60.3512,13.0581
A1,5,00:12:18,37,265.6,0.437468,149.75,0.148835,0.449134,6.71883,0.672414,1.34437,0.0718391,61.0575,7.10056
A1,5,00:12:18,38,253.48,0.417506,102.389,0.303844,0.514367,3.29117,0.742262,1.35601,0.13007,105.504,5.31537
A1,5,00:12:18,39,439.68,0.724195,133.997,0.307721,0.612095,3.2497,0.937334,1.34411,0.0705277,99.2307,11.645
A1,6,00:15:18,1,679.84,1.11976,213.086,0.188151,0.443992,5.31488,0.968583,1.34613,0.0806334,175.417,10.1642
A1,6,00:15:18,2,281.12,0.463031,110.892,0.287279,0.50315,3.48093,0.908579,1.34431,0.0715705,64.3837,5.1904
A1,6,00:15:18,3,233.12,0.383971,95.4879,0.321286,0.607083,3.11249,0.739676,1.345,0.0749753,55.9304,11.7904
A1,6,00:15:18,4,456.08,0.751207,136.513,0.307541,0.573772,3.2516,0.749594,1.34663,0.0831707,121.384,10.4445
A1,6,00:15:18,5,849.0,1.39838,198.554,0.270622,0.48592,3.6952,0.908644,1.34178,0.0589169,160.065,14.1555
A1,6,00:15:18,6,307.0,0.505658,80.7612,0.591483,0.676808,1.69067,0.202367,1.35428,0.121417,119.28,6.8518
A1,6,00:15:18,7,755.44,1.24428,299.126,0.106097,0.400772,9.42534,0.931412,1.34461,0.0730597,176.615,8.18199
A1,6,00:15:18,8,271.08,0.446494,96.3068,0.367277,0.539957,2.72274,0.916372,1.3458,0.0789845,68.5155,10.4973
A1,6,00:15:18,9,516.4,0.85056,161.674,0.248265,0.365774,4.02796,0.935238,1.34527,0.0763467,126.161,9.02748
A1,6,00:15:18,10,229.48,0.377975,126.848,0.179221,0.475705,5.57972,0.902915,1.34688,0.0843983,61.9767,4.18724
A1,6,00:15:18,11,229.92,0.3787,86.0134,0.39053,0.512711,2.56062,0.870559,1.3526,0.113023,83.156,4.2758
A1,6,00:15:18,12,949.76,1.56434,289.438,0.142466,0.428964,7.0192,0.919082,1.34404,0.0701821,213.3,8.36407
A1,6,00:15:18,13,703.2,1.15824,211.296,0.197928,0.503076,5.05234,0.848339,1.34502,0.0750803,168.949,7.70119
A1,6,00:15:18,14,565.36,0.931202,131.682,0.409714,0.637356,2.44073,0.769527,1.34696,0.0848177,153.448,8.20395
A1,6,00:15:18,15,424.6,0.699356,123.482,0.34993,0.432031,2.85772,0.945295,1.34858,0.0928894,126.211,7.66808
A1,6,00:15:18,16,334.84,0.551513,110.59,0.344046,0.542585,2.90659,0.676421,1.34774,0.0887041,95.0453,7.64428
A1,6,00:15:18,17,517.48,0.852339,127.63,0.399206,0.652067,2.50497,0.665204,1.34615,0.0807347,133.692,13.9769
A1,6,00:15:18,18,278.16,0.458156,91.9247,0.413657,0.567025,2.41746,0.832523,1.35353,0.117673,104.742,7.5809
